#T(K) 	 V(A3)    	 Vfit(A3) 	 Vunc(A3) 	 CET(1/K) 	 CETfit(1/K)	 CETunc(1/K)
 10.0	 46.196046	 46.196051	  0.000004	 1.552478e-10	 6.847476e-31	 7.966396e-31
 20.0	 46.196046	 46.196051	  0.000004	 1.089912e-09	 5.397588e-17	 2.905005e-17
 30.0	 46.196046	 46.196051	  0.000004	 3.522547e-09	 1.264371e-12	 4.140655e-13
 40.0	 46.196048	 46.196051	  0.000004	 8.196182e-09	 1.407662e-10	 3.097692e-11
 50.0	 46.196053	 46.196052	  0.000004	 1.588426e-08	 1.941983e-09	 2.984750e-10
 60.0	 46.196062	 46.196054	  0.000004	 2.739713e-08	 9.684790e-09	 1.043355e-09
 70.0	 46.196077	 46.196062	  0.000003	 4.358873e-08	 2.747943e-08	 2.019318e-09
 80.0	 46.196100	 46.196081	  0.000003	 6.536265e-08	 5.560235e-08	 2.611730e-09
 90.0	 46.196135	 46.196115	  0.000003	 9.367643e-08	 9.107304e-08	 2.437623e-09
100.0	 46.196185	 46.196166	  0.000004	 1.295424e-07	 1.305817e-07	 1.890881e-09
110.0	 46.196254	 46.196236	  0.000003	 1.740223e-07	 1.726223e-07	 2.521512e-09
120.0	 46.196347	 46.196326	  0.000003	 2.282137e-07	 2.179785e-07	 4.306417e-09
130.0	 46.196469	 46.196438	  0.000004	 2.932233e-07	 2.691409e-07	 6.195712e-09
140.0	 46.196628	 46.196576	  0.000006	 3.701259e-07	 3.293979e-07	 7.750842e-09
150.0	 46.196829	 46.196744	  0.000009	 4.599066e-07	 4.020425e-07	 8.817314e-09
160.0	 46.197080	 46.196950	  0.000013	 5.633879e-07	 4.898497e-07	 9.388629e-09
170.0	 46.197388	 46.197200	  0.000017	 6.811478e-07	 5.948171e-07	 9.545069e-09
180.0	 46.197762	 46.197502	  0.000022	 8.134397e-07	 7.181016e-07	 9.410531e-09
190.0	 46.198209	 46.197866	  0.000026	 9.601300e-07	 8.600775e-07	 9.121830e-09
200.0	 46.198736	 46.198300	  0.000030	 1.120671e-06	 1.020457e-06	 8.810528e-09
210.0	 46.199353	 46.198811	  0.000034	 1.294120e-06	 1.198435e-06	 8.597291e-09
220.0	 46.200066	 46.199409	  0.000037	 1.479217e-06	 1.392826e-06	 8.596080e-09
230.0	 46.200883	 46.200101	  0.000041	 1.674497e-06	 1.602192e-06	 8.919758e-09
240.0	 46.201810	 46.200892	  0.000046	 1.878440e-06	 1.824944e-06	 9.675458e-09
250.0	 46.202855	 46.201789	  0.000050	 2.089604e-06	 2.059431e-06	 1.094771e-08
260.0	 46.204022	 46.202796	  0.000056	 2.306750e-06	 2.303995e-06	 1.278395e-08
270.0	 46.205319	 46.203919	  0.000062	 2.528909e-06	 2.557024e-06	 1.519541e-08
280.0	 46.206749	 46.205160	  0.000069	 2.755416e-06	 2.816982e-06	 1.816883e-08
290.0	 46.208318	 46.206523	  0.000078	 2.985895e-06	 3.082427e-06	 2.167796e-08
300.0	 46.210029	 46.208010	  0.000089	 3.220222e-06	 3.352030e-06	 2.569051e-08
